"ppin","event_location_name","event_state","event_city","total_12","pct_to_4yr"
"00699979","Academy of Holy Angels","MN","Richfield",189,97
"00700352",NA,"MN","St Louis Park",212,96
"00704255","Minnehaha Academy","MN","Minneapolis",104,95
"00751975","St. Louis Priory School","MO","St. Louis",77,100
"00752083","Ursuline Academy","MO","St. Louis",148,92
"00753848","Bishop LeBlond High School","MO","St. Joseph",43,96
"00755674","Barstow School","MO","Kansas City",62,100
"00755867","Whitfield School","MO","St. Louis",71,100
"00809509","Mercy High School","NE","Omaha",82,95
"00810026","Scotus Central Catholic High School","NE","Columbus",67,75
"00811824","Omaha Christian Academy High School","NE","Omaha",21,61
"00861671","Queen Of Peace High School","NJ","N Arlington",106,85
"00864005","Immaculate Conception High School","NJ","Montclair",45,97
"00864796","Camden Catholic High School","NJ","Cherry Hill",165,96
"00865439","Pope John XXIII High School","NJ","Sussex",198,95
"00866851","St. Rose High School","NJ","Belmar",104,91
"00868564","Newark Academy","NJ","Livingston",93,100
"00909489","Santa Fe Preparatory School","NM","Santa Fe",36,100
"00919227","La Salle Academy","NY","New York",79,68
"00920017","Notre Dame School","NY","New York",69,100
"00920797","School of the Holy Child","NY","Rye",56,100
"00921043","John S Burke Catholic HS","NY","Goshen",125,75
"00921804","Convent of the Sacred Heart","NY","New York",45,100
"00922604","Monsignor Farrell High School","NY","Staten Island",200,99
"00923991","Academy Of The Holy Names","NY","Albany",43,100
"00926234","Holy Cross High School","NY","Queens",197,99
"00927894","Cardinal Ohara High School","NY","Tonawanda",60,75
"00931131","Saint Dominic High School","NY","Oyster Bay",126,100
"00932372","Christian Brothers Academy","NY","Syracuse",127,98
"00938261","Professional Children's School","NY","New York",55,95
"00939651","The Browning School","NY","New York",31,100
"00939764","Hackley School","NY","Tarrytown",99,100
"00939979","Columbia Grammar And Prep Sch","NY","New York",113,100
"00942722","Trinity School","NY","New York",107,100
"01010903","Carolina Friends School","NC","Durham",40,95
"01011725","Forsyth Country Day School","NC","Lewisville",74,100
"01042902","Shanley High School","ND","Fargo",75,100
"01056267","Lehman High School","OH","Sidney",40,94
"01056278","Catholic Central High School","OH","Springfield",42,99
"01056507","Seton High School","OH","Cincinnati",142,90
"01056711","La Salle High School","OH","Cincinnati",153,88
"01057227","Villa Angela-St Joseph High School","OH","Cleveland",91,98
"01060783","Delphos-Saint Johns HS","OH","Delphos",50,54
"01063219","Andrews School","OH","Willoughby",39,40
"01063933","Cuyahoga Valley Christian Acad","OH","Cuyahoga Fls",146,94
"01064019","Miami Valley School","OH","Dayton",48,100
"01064391","Worthington Christian HS","OH","Worthington",73,97
"01160755","Central Catholic HS","OR","Portland",211,96
"01190418","Villa Maria Academy","PA","Erie",59,86
"01191761","Lancaster Catholic High School","PA","Lancaster",168,90
"01194423","Vincentian Academy","PA","Pittsburgh",54,100
"01195926","The School at Church Farm","PA","Exton",34,100
"01196511","Lancaster Mennonite School","PA","Lancaster",150,79
"01197832","Ellis School","PA","Pittsburgh",29,100
"01257893","St. George's School","RI","Middletown",95,100
"01263502","Christ Church Episcopal School","SC","Greenville",92,100
"01264517","Orangeburg Preparatory Schools","SC","Orangeburg",38,70
"01295454","Immaculate Conception","TN","Memphis",34,100
"01295658","Donelson Christian Academy","TN","Donelson",42,87
"01296243","Harding Academy","TN","Memphis",72,98
"01296403","Brentwood Academy","TN","Brentwood",111,100
"01322242","Antonian College Prep High School","TX","San Antonio",166,95
"01322311","Holy Cross High School","TX","San Antonio",73,90
"01323836","Incarnate Word Academy","TX","Corp Christi",70,98
"01324512","Bishop Lynch High School","TX","Dallas",256,99
"01422134","Thetford Academy","VT","Thetford",62,81
"01422258","Vermont Academy","VT","Saxtons River",76,97
"01422316","The Putney School","VT","Putney",58,100
