ncessch,name,address,address_secondary,city,state_code,zip_code,school_type,offered_09,total_09,offered_10,total_10,offered_11,total_11,offered_12,total_12,total_students,total_white,total_black,total_hispanic,total_asian,total_amerindian,total_nativehawaii,total_tworaces,pct_white,pct_black,pct_hispanic,pct_asian,pct_amerindian,pct_nativehawaii,pct_tworaces,is_religious,religious_orientation,accelerated_christian_edu,amer_assoc_christian_sch,assoc_christian_sch_intl,oral_roberts,total_male,pct_to_4yr,region,community_type,locale_code,latitude,longitude,is_christian,is_conservative,religion_5,religion_4,religion,year,overall_niche_letter_grade,rank_within_category
00602209,POPE FRANCIS HIGH SCHOOL,134 SPRINGFIELD ST, ,CHICOPEE,MA,01013,1,1,76,1,71,1,99,1,85,331,219,22,30,39,1,1,19,66.163141994,6.6465256798,9.0634441088,11.782477341,0.3021148036,0.3021148036,5.7401812689,1,1,0,0,0,0,180,90,1,2,21,42.145872,-72.604592,1,0,catholic,catholic,catholic,1718,NA,NA
00601715,COYLE & CASSIDY HIGH SCHOOL & MIDDLE SCHOOL,2 HAMILTON ST, ,TAUNTON,MA,02780,1,1,55,1,54,1,61,1,77,375,330,27,6,10,0,0,2,88,7.2,1.6,2.6666666667,0,0,0.5333333333,1,1,0,0,0,0,206,98,1,2,21,41.909282,-71.095027,1,0,catholic,catholic,catholic,1718,NA,NA
00599679,MARIAN HIGH SCHOOL,273 UNION AVE,273 UNION AVE,FRAMINGHAM,MA,01702,1,1,43,1,56,1,75,1,53,227,104,17,31,71,0,0,4,45.814977974,7.4889867841,13.656387665,31.27753304,0,0,1.7621145374,1,1,0,0,0,0,102,88,1,1,13,42.28634,-71.421621,1,0,catholic,catholic,catholic,1718,NA,NA
00601136,POPE JOHN XXIII HIGH SCHOOL,888 BROADWAY, ,EVERETT,MA,02149,1,1,62,1,66,1,93,1,113,352,112,59,49,132,0,0,0,31.818181818,16.761363636,13.920454545,37.5,0,0,0,1,1,0,0,0,0,170,95,1,2,21,42.4203,-71.044941,1,0,catholic,catholic,catholic,1718,NA,NA
00600686,PRESENTATION OF MARY ACADEMY,209 LAWRENCE ST, ,METHUEN,MA,01844,1,1,39,1,47,1,69,1,55,210,91,5,42,47,0,0,25,43.333333333,2.380952381,20,22.380952381,0,0,11.904761905,1,1,0,0,0,0,84,80,1,2,21,42.72718,-71.179331,1,0,catholic,catholic,catholic,1718,NA,NA
00599464,SACRED HEART SCHOOL,399 BISHOPS HWY, ,KINGSTON,MA,02364,1,1,66,1,37,1,42,1,57,526,450,9,9,34,0,2,22,85.551330798,1.711026616,1.711026616,6.463878327,0,0.3802281369,4.1825095057,1,1,0,0,0,0,268,96,1,4,41,41.94789,-70.740881,1,0,catholic,catholic,catholic,1718,NA,NA
A1702132,MINNEHAHA ACADEMY - UPPER SCHOOL,3100 W RIVER PKWY, ,MINNEAPOLIS,MN,55406,1,1,97,1,97,1,81,1,81,356,266,30,22,12,1,0,25,74.719101124,8.4269662921,6.1797752809,3.3707865169,0.2808988764,0,7.0224719101,1,29,0,0,0,0,213,98,2,1,11,44.94587,-93.205671,0,0,other_religion,other_religion,other,1718,NA,NA
00809804,ST MARYS SCHOOLS,300 N 4TH ST, ,O'NEILL,NE,68763,1,1,15,1,15,1,15,1,15,195,193,0,2,0,0,0,0,98.974358974,0,1.0256410256,0,0,0,0,1,1,0,0,0,0,125,85,2,3,33,42.460768,-98.649049,1,0,catholic,catholic,catholic,1718,NA,NA
A1101473,CHRIST THE KING PREPATORY SCHOOL,239 WOODSIDE AVE, ,NEWARK,NJ,07104,1,1,72,1,73,1,67,1,64,276,3,139,105,3,2,2,22,1.0869565217,50.362318841,38.043478261,1.0869565217,0.7246376812,0.7246376812,7.9710144928,1,1,0,0,0,0,141,98,1,1,11,40.774342,-74.164616,1,0,catholic,catholic,catholic,1718,NA,NA
00864708,ST JOSEPH HIGH SCHOOL,328 VINE ST, ,HAMMONTON,NJ,08037,1,1,64,1,56,1,83,1,79,282,214,44,15,5,1,0,3,75.886524823,15.602836879,5.3191489362,1.7730496454,0.3546099291,0,1.0638297872,1,1,0,0,0,0,166,85,1,3,31,39.636693,-74.800285,1,0,catholic,catholic,catholic,1718,NA,NA
